Date,Time,Easting,Northing,Datetime
2024-09-19,21:05:31.944,462179.641200,6431225.051200,2024-09-19 21:05:31.944
2024-09-19,21:05:33.806,462183.828600,6431224.992100,2024-09-19 21:05:33.806
2024-09-19,21:05:35.631,462187.937700,6431224.864200,2024-09-19 21:05:35.631
2024-09-19,21:05:39.295,462196.187700,6431224.171300,2024-09-19 21:05:39.295
2024-09-19,21:05:41.141,462200.338800,6431223.791400,2024-09-19 21:05:41.141
2024-09-19,21:05:42.988,462204.540800,6431223.905800,2024-09-19 21:05:42.988
2024-09-19,21:05:44.821,462208.644700,6431223.930000,2024-09-19 21:05:44.821
2024-09-19,21:05:46.659,462212.716800,6431224.486800,2024-09-19 21:05:46.659
2024-09-19,21:05:48.508,462216.993900,6431223.628700,2024-09-19 21:05:48.508
2024-09-19,21:05:50.337,462221.111600,6431223.416600,2024-09-19 21:05:50.337
2024-09-19,21:05:52.191,462225.311900,6431223.034600,2024-09-19 21:05:52.191
2024-09-19,21:05:54.025,462229.466500,6431222.996200,2024-09-19 21:05:54.025
2024-09-19,21:05:55.878,462233.633700,6431223.187300,2024-09-19 21:05:55.878
2024-09-19,21:05:57.715,462237.771200,6431222.902900,2024-09-19 21:05:57.715
2024-09-19,21:05:59.583,462242.002400,6431222.980500,2024-09-19 21:05:59.583
2024-09-19,21:06:01.399,462246.212500,6431222.723700,2024-09-19 21:06:01.399
2024-09-19,21:06:03.241,462250.394700,6431224.187600,2024-09-19 21:06:03.241
2024-09-19,21:06:05.075,462321.743000,6431224.077500,2024-09-19 21:06:05.075
2024-09-19,21:06:06.943,462258.704600,6431222.124400,2024-09-19 21:06:06.943
2024-09-19,21:06:08.757,462262.780500,6431222.409000,2024-09-19 21:06:08.757
2024-09-19,21:06:10.593,462266.847500,6431222.413600,2024-09-19 21:06:10.593
2024-09-19,21:06:12.436,462270.913400,6431222.018500,2024-09-19 21:06:12.436
2024-09-19,21:06:14.266,462275.052200,6431221.477500,2024-09-19 21:06:14.266
2024-09-19,21:06:16.115,462279.205200,6431221.326600,2024-09-19 21:06:16.115
2024-09-19,21:06:19.804,462287.560200,6431221.146900,2024-09-19 21:06:19.804
2024-09-19,21:06:21.646,462291.599500,6431221.024500,2024-09-19 21:06:21.646
2024-09-19,21:06:23.476,462295.718600,6431221.109100,2024-09-19 21:06:23.476
2024-09-19,21:06:25.310,462299.979800,6431220.766300,2024-09-19 21:06:25.310
2024-09-19,21:06:27.162,462304.136300,6431220.985400,2024-09-19 21:06:27.162
2024-09-19,21:06:29.006,462308.341900,6431220.781800,2024-09-19 21:06:29.006
2024-09-19,21:06:30.843,462312.516000,6431220.458600,2024-09-19 21:06:30.843
2024-09-19,21:06:32.676,462316.646900,6431220.457200,2024-09-19 21:06:32.676
2024-09-19,21:06:34.513,462320.810500,6431220.300200,2024-09-19 21:06:34.513
2024-09-19,21:06:36.349,462324.980000,6431219.917400,2024-09-19 21:06:36.349
2024-09-19,21:06:38.183,462329.094900,6431219.699300,2024-09-19 21:06:38.183
2024-09-19,21:06:40.033,462333.287900,6431219.172700,2024-09-19 21:06:40.033
2024-09-19,21:06:41.869,462337.440200,6431219.538700,2024-09-19 21:06:41.869
2024-09-19,21:06:43.710,462341.586800,6431219.435100,2024-09-19 21:06:43.710
2024-09-19,21:06:45.571,462345.779500,6431219.511500,2024-09-19 21:06:45.571
2024-09-19,21:06:47.407,462349.831800,6431219.268400,2024-09-19 21:06:47.407
2024-09-19,21:06:49.242,462353.736000,6431219.175200,2024-09-19 21:06:49.242
2024-09-19,21:06:51.087,462357.848900,6431218.645000,2024-09-19 21:06:51.087
2024-09-19,21:06:52.934,462362.008300,6431218.881400,2024-09-19 21:06:52.934
2024-09-19,21:06:54.783,462366.179600,6431218.391000,2024-09-19 21:06:54.783
2024-09-19,21:06:56.625,462370.401800,6431218.395200,2024-09-19 21:06:56.625
2024-09-19,21:07:00.303,462378.723100,6431218.131700,2024-09-19 21:07:00.303
2024-09-19,21:07:07.150,462394.077500,6431217.573300,2024-09-19 21:07:07.150
2024-09-19,21:07:07.957,462395.699800,6431217.574200,2024-09-19 21:07:07.957
2024-09-19,21:07:09.803,462399.754400,6431217.688100,2024-09-19 21:07:09.803
2024-09-19,21:07:11.643,462403.961900,6431217.689700,2024-09-19 21:07:11.643
2024-09-19,21:07:13.487,462408.212400,6431217.539900,2024-09-19 21:07:13.487
2024-09-19,21:07:15.322,462407.099800,6431216.687300,2024-09-19 21:07:15.322
2024-09-19,21:07:17.161,462416.400800,6431217.101100,2024-09-19 21:07:17.161
2024-09-19,21:07:18.998,462420.564800,6431216.758800,2024-09-19 21:07:18.998
2024-09-19,21:07:22.672,462428.897500,6431216.548300,2024-09-19 21:07:22.672
2024-09-19,21:07:24.505,462433.116400,6431217.595900,2024-09-19 21:07:24.505
2024-09-19,21:07:26.339,462437.130100,6431215.716500,2024-09-19 21:07:26.339
2024-09-19,21:07:28.175,462441.283900,6431215.809000,2024-09-19 21:07:28.175
2024-09-19,21:07:30.043,462445.456900,6431215.730800,2024-09-19 21:07:30.043
2024-09-19,21:07:31.890,462449.663400,6431216.611000,2024-09-19 21:07:31.890
2024-09-19,21:07:33.723,462453.772200,6431215.493500,2024-09-19 21:07:33.723
2024-09-19,21:07:35.566,462457.978300,6431215.743900,2024-09-19 21:07:35.566
